address,lat,long,geometry,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"980 S ISABELLA RD, MOUNT PLEASANT, MI 48858",43.6262701,-84.7485539,"[-84.74855389999999, 43.62627010000001]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"1221 SOUTH DR, MOUNT PLEASANT, MI 48858",43.5993477,-84.7609728,"[-84.76097279999999, 43.5993477]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"801 E INDUSTRIAL AVE, MOUNT PLEASANT, MI 48858",43.6195262,-84.7663387,"[-84.76633869999999, 43.6195262]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"1011 INDUSTRIAL AVE, MOUNT PLEASANT, MI 48858",43.620081,-84.7679166,"[-84.76791659999999, 43.620081]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"2113 ENTERPRISE DR, MOUNT PLEASANT, MI 48858",43.6095196,-84.7291875,"[-84.7291875, 43.6095196]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"6828 Lea Pick Dr, MOUNT PLEASANT, MI 48804",43.6131839,-84.7102893,"[-84.7102893, 43.6131839]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"Mount Pleasant Maintenance Garage, MOUNT PLEASANT, MI 48858",43.5978075,-84.7675139,"[-84.7675139, 43.59780749999999]","26","073","940300","26073940300","9403",Census Tract 9403,G5020,S,"25260289","638487","+43.6152730","-084.7379235"
"10550 COLEMAN ROAD, BEAL CITY, MI 48893",43.7557645,-85.0580028,"[-85.0580028, 43.7557645]","26","073","000100","26073000100","1",Census Tract 1,G5020,S,"278183674","2254174","+43.7733876","-084.9198778"
"2731 East Grass Lake Road, CLARE, MI 48617",43.7863453,-84.7921911,"[-84.7921911, 43.7863453]","26","073","000100","26073000100","1",Census Tract 1,G5020,S,"278183674","2254174","+43.7733876","-084.9198778"
"8507 S WINN RD, WINN, MI 48896",43.5198032,-84.9058953,"[-84.9058953, 43.51980320000001]","26","073","000300","26073000300","3",Census Tract 3,G5020,S,"279045463","723777","+43.5046203","-084.9075268"
"109 S 3rd St, BLANCHARD, MI 49310",43.5216891,-85.0798559,"[-85.07985590000001, 43.5216891]","26","073","000300","26073000300","3",Census Tract 3,G5020,S,"279045463","723777","+43.5046203","-084.9075268"
"4615 South Summerton Rd, MOUNT PLEASANT, MI 48858",43.5747913,-84.7262072,"[-84.72620719999999, 43.5747913]","26","073","000900","26073000900","9",Census Tract 9,G5020,S,"133682343","404274","+43.5287645","-084.6675098"
"4520 LAKE PLEASANT RD, OSSEO, MI 49266",41.8620916,-84.5685231,"[-84.5685231, 41.8620916]","26","059","051000","26059051000","510",Census Tract 510,G5020,S,"180209917","1877656","+41.8571039","-084.4750647"
"104 N. Second Street, PITTSFORD, MI 49271",41.8641561,-84.4741009,"[-84.4741009, 41.8641561]","26","059","051000","26059051000","510",Census Tract 510,G5020,S,"180209917","1877656","+41.8571039","-084.4750647"
"6550 Meridian Rd, HUDSON, MI 49247",41.8322738,-84.3616414,"[-84.3616414, 41.8322738]","26","059","051000","26059051000","510",Census Tract 510,G5020,S,"180209917","1877656","+41.8571039","-084.4750647"
"9610 Beecher Road, PITTSFORD, MI 49271",41.8844992,-84.4662145,"[-84.46621449999999, 41.8844992]","26","059","051000","26059051000","510",Census Tract 510,G5020,S,"180209917","1877656","+41.8571039","-084.4750647"
"8949 Culbert Road, OSSEO, MI 49266",41.8974702,-84.478145,"[-84.47814500000001, 41.8974702]","26","059","051000","26059051000","510",Census Tract 510,G5020,S,"180209917","1877656","+41.8571039","-084.4750647"
"8701 Culbert Road, OSSEO, MI 49266",41.8974465,-84.4823855,"[-84.48238549999999, 41.8974465]","26","059","051000","26059051000","510",Census Tract 510,G5020,S,"180209917","1877656","+41.8571039","-084.4750647"
"2181 South Pittsford Road, PITTSFORD, MI 49271",41.8938193,-84.474907,"[-84.474907, 41.8938193]","26","059","051000","26059051000","510",Census Tract 510,G5020,S,"180209917","1877656","+41.8571039","-084.4750647"
"2849 South Pittsford Road, PITTSFORD, MI 49271",41.8895299,-84.4743255,"[-84.47432549999999, 41.8895299]","26","059","051000","26059051000","510",Census Tract 510,G5020,S,"180209917","1877656","+41.8571039","-084.4750647"
"11671 TRIPP RD, WALDRON, MI 49288",41.7598871,-84.5142478,"[-84.51424779999999, 41.7598871]","26","059","051100","26059051100","511",Census Tract 511,G5020,S,"270464885","2440194","+41.7495569","-084.5049660"
"11671 South Tripp Road, WALDRON, MI 49299",41.7598871,-84.5142478,"[-84.51424779999999, 41.7598871]","26","059","051100","26059051100","511",Census Tract 511,G5020,S,"270464885","2440194","+41.7495569","-084.5049660"
"6750 MILLBROOK RD, REMUS, MI 49340",43.5535754,-84.9854745,"[-84.9854745, 43.5535754]","26","073","000200","26073000200","2",Census Tract 2,G5020,S,"180351566","4806806","+43.6367839","-085.0233746"
"6900 W BASELINE RD, LAKE ISABELLA, MI 48893",43.6400472,-84.986264,"[-84.98626399999999, 43.6400472]","26","073","000200","26073000200","2",Census Tract 2,G5020,S,"180351566","4806806","+43.6367839","-085.0233746"
"10981 E PICKARD, MOUNT PLEASANT, MI 48804",43.6121708,-84.6283517,"[-84.6283517, 43.6121708]","26","073","940200","26073940200","9402",Census Tract 9402,G5020,S,"231510420","813902","+43.7106450","-084.6649295"
"4725 N ISABELLA RD, ROSEBUSH, MI 48878",43.7098102,-84.748307,"[-84.748307, 43.7098102]","26","073","940100","26073940100","9401",Census Tract 9401,G5020,S,"185515752","1767788","+43.6862564","-084.8451930"
"5180 W WEIDMAN RD, WEIDMAN, MI 48893",43.6857143,-84.952044,"[-84.952044, 43.6857143]","26","073","940100","26073940100","9401",Census Tract 9401,G5020,S,"185515752","1767788","+43.6862564","-084.8451930"
"P.O. BOX 411, MOUNT PLEASANT, MI 48804",43.6026818,-84.777774,"[-84.777774, 43.60268180000001]","26","073","940500","26073940500","9405",Census Tract 9405,G5020,S,"1674276","39982","+43.6006358","-084.7811238"
"2221 E LUDINTON AVE, CLARE, MI 48617",43.826845,-84.801506,"[-84.80150599999999, 43.826845]","26","035","000600","26035000600","6",Census Tract 6,G5020,S,"16259582","328727","+43.8263370","-084.7833960"
"3820  Plaza Drive, ANN ARBOR, MI 48108",42.2297649,-83.7486734,"[-83.7486734, 42.2297649]","26","161","414700","26161414700","4147",Census Tract 4147,G5020,S,"2249544","0","+42.2354635","-083.7536248"
"793 AIRPORT BLVD, ANN ARBOR, MI 48108",42.2317563,-83.7442205,"[-83.7442205, 42.2317563]","26","161","414700","26161414700","4147",Census Tract 4147,G5020,S,"2249544","0","+42.2354635","-083.7536248"
"3808 PLAZA DRIVE, ANN ARBOR, MI 48108",42.2301939,-83.7480925,"[-83.7480925, 42.2301939]","26","161","414700","26161414700","4147",Census Tract 4147,G5020,S,"2249544","0","+42.2354635","-083.7536248"
"1200 W 3 MILE RD, SAULT S MARIE, MI 49783",46.4630474,-84.3875311,"[-84.38753109999999, 46.4630474]","26","033","970500","26033970500","9705",Census Tract 9705,G5020,S,"22758945","8516484","+46.4730776","-084.3970042"
"1564 W. Storey Row, SAULT S MARIE, MI 49783",46.4670696,-84.3552259,"[-84.3552259, 46.46706959999999]","26","033","970500","26033970500","9705",Census Tract 9705,G5020,S,"22758945","8516484","+46.4730776","-084.3970042"
"1322 West 3 Mile Road, SAULT S MARIE, MI 49783",46.4630524,-84.3902984,"[-84.39029839999999, 46.4630524]","26","033","970500","26033970500","9705",Census Tract 9705,G5020,S,"22758945","8516484","+46.4730776","-084.3970042"
"2810 W 4th Avenue, SAULT S MARIE, MI 49783",46.4882142,-84.4141792,"[-84.41417919999999, 46.48821419999999]","26","033","970500","26033970500","9705",Census Tract 9705,G5020,S,"22758945","8516484","+46.4730776","-084.3970042"
"4646 I 75 Business Spur, SAULT S MARIE, MI 49783",46.4656695,-84.3814796,"[-84.38147959999999, 46.4656695]","26","033","970500","26033970500","9705",Census Tract 9705,G5020,S,"22758945","8516484","+46.4730776","-084.3970042"
"16770 South Watertower Drive, KINCHELOE, MI 49788",46.2629149,-84.4677,"[-84.4677, 46.2629149]","26","033","970900","26033970900","9709",Census Tract 9709,G5020,S,"21268902","91948","+46.2613063","-084.4725357"
"436 QUAY ST, KINCHELOE, MI 49788",46.2521245,-84.4593233,"[-84.4593233, 46.2521245]","26","033","970900","26033970900","9709",Census Tract 9709,G5020,S,"21268902","91948","+46.2613063","-084.4725357"
"17422 S DOLAN STREET, KINCHELOE, MI 49788",46.253102,-84.4622721,"[-84.4622721, 46.253102]","26","033","970900","26033970900","9709",Census Tract 9709,G5020,S,"21268902","91948","+46.2613063","-084.4725357"
"BLDG 434 DOLAN ST, KINCHELOE, MI 49788",46.2520522,-84.4611713,"[-84.4611713, 46.2520522]","26","033","970900","26033970900","9709",Census Tract 9709,G5020,S,"21268902","91948","+46.2613063","-084.4725357"
"16794 S HUGGININ ROAD, KINROSS, MI 49788",46.260954,-84.4745012,"[-84.47450119999999, 46.260954]","26","033","970900","26033970900","9709",Census Tract 9709,G5020,S,"21268902","91948","+46.2613063","-084.4725357"
"CHIPPEWA COUNTY INTERNATIONAL AIRPORT, KINROSS, MI 49788",46.2577577,-84.4744174,"[-84.4744174, 46.2577577]","26","033","970900","26033970900","9709",Census Tract 9709,G5020,S,"21268902","91948","+46.2613063","-084.4725357"
"4311 E. Ashman St., MIDLAND, MI 48642",43.6314037,-84.174539,"[-84.174539, 43.6314037]","26","111","291104","26111291104","2911.04",Census Tract 2911.04,G5020,S,"68554717","32543","+43.7051419","-084.2080786"
"1930 STARK RD, MIDLAND, MI 48640",43.6675561,-84.3089236,"[-84.3089236, 43.6675561]","26","111","291103","26111291103","2911.03",Census Tract 2911.03,G5020,S,"77424511","308881","+43.6945833","-084.3171846"
"1565 VIRGINIA DR, MIDLAND, MI 48640",43.6682354,-84.3072961,"[-84.3072961, 43.6682354]","26","111","291103","26111291103","2911.03",Census Tract 2911.03,G5020,S,"77424511","308881","+43.6945833","-084.3171846"
"1928 STARK RD, MIDLAND, MI 48640",43.6671397,-84.3089199,"[-84.30891989999999, 43.6671397]","26","111","291103","26111291103","2911.03",Census Tract 2911.03,G5020,S,"77424511","308881","+43.6945833","-084.3171846"
"62 East Saginaw Road, SANFORD, MI 48657",43.6660906,-84.3654181,"[-84.3654181, 43.6660906]","26","111","291103","26111291103","2911.03",Census Tract 2911.03,G5020,S,"77424511","308881","+43.6945833","-084.3171846"
"7600 WEST WACKERLY STREET, MIDLAND, MI 48642",43.6571683,-84.3172234,"[-84.3172234, 43.6571683]","26","111","291103","26111291103","2911.03",Census Tract 2911.03,G5020,S,"77424511","308881","+43.6945833","-084.3171846"
"PO BOX 529, DRUMMOND IS, MI 49726",46.0205456,-83.7331233,"[-83.7331233, 46.0205456]","26","033","971100","26033971100","9711",Census Tract 9711,G5020,S,"394414342","352001799","+46.0082202","-083.7151203"
"836 HIGHWAY M-134, DETOUR, MI 49725",45.9769327,-83.9181911,"[-83.9181911, 45.9769327]","26","033","971100","26033971100","9711",Census Tract 9711,G5020,S,"394414342","352001799","+46.0082202","-083.7151203"
"26396 East Gable Road, DRUMMOND IS, MI 49726",46.0053581,-83.8346657,"[-83.8346657, 46.0053581]","26","033","971100","26033971100","9711",Census Tract 9711,G5020,S,"394414342","352001799","+46.0082202","-083.7151203"
"217 Division Street, DE TOUR VLLE, MI 49725",45.996346,-83.9056045,"[-83.9056045, 45.996346]","26","033","971100","26033971100","9711",Census Tract 9711,G5020,S,"394414342","352001799","+46.0082202","-083.7151203"
"HC Tourist Road, DRUMMOND IS, MI 49726",46.0359733,-83.7052497,"[-83.7052497, 46.0359733]","26","033","971100","26033971100","9711",Census Tract 9711,G5020,S,"394414342","352001799","+46.0082202","-083.7151203"
"951 COUNTY ST, MILAN, MI 48160",42.0861285,-83.6677551,"[-83.6677551, 42.0861285]","26","161","421100","26161421100","4211",Census Tract 4211,G5020,S,"2876121","74013","+42.0905586","-083.6834968"
"640 ASH ST, MILAN, MI 48160",42.090414,-83.6881636,"[-83.6881636, 42.090414]","26","161","421100","26161421100","4211",Census Tract 4211,G5020,S,"2876121","74013","+42.0905586","-083.6834968"
"100 Big Red Dr, MILAN, MI 48160",42.0853204,-83.6824384,"[-83.6824384, 42.0853204]","26","161","421100","26161421100","4211",Census Tract 4211,G5020,S,"2876121","74013","+42.0905586","-083.6834968"
"Collins Rd., MANISTEE, MI 49660",44.32698,-86.161871,"[-86.161871, 44.32698]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"4000  Fisk Rd., MANISTEE, MI 49660",44.2924647,-86.2131833,"[-86.2131833, 44.2924647]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"SCHOEDEL RD, MANISTEE TWP, MI 49660",44.3169811,-86.2272614,"[-86.2272614, 44.3169811]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"SCHOEDEL RD, MANISTEE, MI 49660",44.3169811,-86.2272614,"[-86.2272614, 44.3169811]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"6171 CHIPPEWA HWY, MANISTEE, MI 49660",44.3326188,-86.1691585,"[-86.16915850000001, 44.3326188]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"SUIDA RD, MANISTEE, MI 49660",44.2917415,-86.2834745,"[-86.2834745, 44.2917415]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"7836 CHIPPEWA HWY, KALEVA, MI 49645",44.3573231,-86.1624511,"[-86.1624511, 44.3573231]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"2236 Hill Road, MANISTEE, MI 49660",44.2812974,-86.3058499,"[-86.3058499, 44.2812974]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"1505 East Parkdale Avenue, MANISTEE, MI 49660",44.271649,-86.2725455,"[-86.27254549999999, 44.271649]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"1465 E Parkdale Avenue, MANISTEE, MI 49660",44.2721047,-86.2737372,"[-86.2737372, 44.27210470000001]","26","101","000400","26101000400","4",Census Tract 4,G5020,S,"100031485","7661705","+44.3121435","-086.2257453"
"1800  Eastlake Rd., MANISTEE, MI 49660",44.2264554,-86.2890455,"[-86.2890455, 44.2264554]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"1501 Main St., MANISTEE, MI 49660",44.2331885,-86.3031075,"[-86.3031075, 44.2331885]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"180  6th Street, MANISTEE, MI 49660",44.2419017,-86.310259,"[-86.310259, 44.2419017]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"2246  Udell St., FILER CITY, MI 49634",44.2122165,-86.2855629,"[-86.2855629, 44.2122165]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"700  Mee Street, FILER CITY, MI 49634",44.217282,-86.2888934,"[-86.28889339999999, 44.217282]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"159 BRICKYARD RD BUILDING B, MANISTEE, MI 49660",44.2499695,-86.2940504,"[-86.29405039999999, 44.2499695]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"3890 CAMP ROAD, MANISTEE, MI 49660",44.1914223,-86.2651786,"[-86.2651786, 44.1914223]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"1735 State Street, MANISTEE, MI 49660",44.2307435,-86.3024527,"[-86.30245269999999, 44.2307435]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"270 Merkey Road E, MANISTEE, MI 49660",44.2273443,-86.3096008,"[-86.3096008, 44.2273443]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"200 East River Street, MANISTEE, MI 49660",44.2511712,-86.3133173,"[-86.3133173, 44.25117119999999]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"3375 West Fox Farm Road, FILER TWP, MI 49634",44.191198,-86.31533,"[-86.31533, 44.191198]","26","101","000700","26101000700","7",Census Tract 7,G5020,S,"98445311","8335374","+44.2053249","-086.2744813"
"MANISTEE TWP SEC 12, MANISTEE, MI 49000",44.2444473,-86.324253,"[-86.324253, 44.2444473]","26","101","000800","26101000800","8",Census Tract 8,G5020,S,"5785841","1280963","+44.2381477","-086.3335642"
"Lot 5 Manistee Renaissance Industrial Pa, MANISTEE, MI 49660",44.2421963,-86.32063,"[-86.32063, 44.2421963]","26","101","000800","26101000800","8",Census Tract 8,G5020,S,"5785841","1280963","+44.2381477","-086.3335642"
"12783 Big Four Road, MANISTEE, MI 49660",44.2444473,-86.324253,"[-86.324253, 44.2444473]","26","101","000800","26101000800","8",Census Tract 8,G5020,S,"5785841","1280963","+44.2381477","-086.3335642"
"T22N R15W SEC 10 NE SW NW, MANISTEE, MI 49660",44.2444473,-86.324253,"[-86.324253, 44.2444473]","26","101","000800","26101000800","8",Census Tract 8,G5020,S,"5785841","1280963","+44.2381477","-086.3335642"
"NW SE SW SEC 7, MANISTEE, MI 49660",44.2394283,-86.3200078,"[-86.3200078, 44.2394283]","26","101","000800","26101000800","8",Census Tract 8,G5020,S,"5785841","1280963","+44.2381477","-086.3335642"
"385 3rd Street, MANISTEE, MI 49660",44.243855,-86.3227015,"[-86.3227015, 44.243855]","26","101","000800","26101000800","8",Census Tract 8,G5020,S,"5785841","1280963","+44.2381477","-086.3335642"
"Unknown, MANISTEE, MI 49660",44.2444473,-86.324253,"[-86.324253, 44.2444473]","26","101","000800","26101000800","8",Census Tract 8,G5020,S,"5785841","1280963","+44.2381477","-086.3335642"
"335  Washington St., MANISTEE, MI 49660",44.2633198,-86.3221865,"[-86.3221865, 44.2633198]","26","101","000900","26101000900","9",Census Tract 9,G5020,S,"3718945","3643776","+44.2754880","-086.3183222"
"330 N. WASHINGTON St., MANISTEE, MI 49660",44.2618474,-86.3232637,"[-86.3232637, 44.2618474]","26","101","000900","26101000900","9",Census Tract 9,G5020,S,"3718945","3643776","+44.2754880","-086.3183222"
"315 Washington St, MANISTEE, MI 49660",44.2590757,-86.3223846,"[-86.32238459999999, 44.2590757]","26","101","000900","26101000900","9",Census Tract 9,G5020,S,"3718945","3643776","+44.2754880","-086.3183222"
"290 WASHINGTON ST, MANISTEE, MI 49660",44.2584256,-86.324009,"[-86.32400899999999, 44.2584256]","26","101","000900","26101000900","9",Census Tract 9,G5020,S,"3718945","3643776","+44.2754880","-086.3183222"
"6th & Daniels Street, MANISTEE, MI 49660",44.2488619,-86.3266414,"[-86.3266414, 44.2488619]","26","101","000900","26101000900","9",Census Tract 9,G5020,S,"3718945","3643776","+44.2754880","-086.3183222"
"1020 Veterans Oak Grove, MANISTEE, MI 49660",44.2655496,-86.3203708,"[-86.32037079999999, 44.2655496]","26","101","000900","26101000900","9",Census Tract 9,G5020,S,"3718945","3643776","+44.2754880","-086.3183222"
"7614 Adamson Lake Rd., BEAR LAKE, MI 49614",44.3530585,-86.1426222,"[-86.14262219999999, 44.3530585]","26","101","000500","26101000500","5",Census Tract 5,G5020,S,"363091934","6469839","+44.3017916","-086.0259971"
"6660 RIVER RD, MANISTEE, MI 49660",44.3025782,-86.168417,"[-86.16841699999999, 44.3025782]","26","101","000500","26101000500","5",Census Tract 5,G5020,S,"363091934","6469839","+44.3017916","-086.0259971"
"1200 CABERFAE HIGHWAY / M-55, MANISTEE, MI 49660",44.2459122,-86.2782469,"[-86.27824690000001, 44.2459122]","26","101","000500","26101000500","5",Census Tract 5,G5020,S,"363091934","6469839","+44.3017916","-086.0259971"
"Eight Mile Rd, KALEVA, MI 49645",44.3585749,-86.1217558,"[-86.1217558, 44.3585749]","26","101","000500","26101000500","5",Census Tract 5,G5020,S,"363091934","6469839","+44.3017916","-086.0259971"
"1965 PINE CREEK RD, MANISTEE, MI 49660",44.24667,-86.2646233,"[-86.2646233, 44.24666999999999]","26","101","000500","26101000500","5",Census Tract 5,G5020,S,"363091934","6469839","+44.3017916","-086.0259971"
"1200 Caberfae Hwy., MANISTEE, MI 49660",44.2459122,-86.2782469,"[-86.27824690000001, 44.2459122]","26","101","000500","26101000500","5",Census Tract 5,G5020,S,"363091934","6469839","+44.3017916","-086.0259971"
"11127  11 MILE RD, BEAR LAKE, MI 49614",44.4003206,-86.0730278,"[-86.07302779999999, 44.4003206]","26","101","000300","26101000300","3",Census Tract 3,G5020,S,"106490305","13264698","+44.3959365","-086.1720676"
"9536 Nine Mile Rd., BEAR LAKE, MI 49614",44.3714082,-86.0719056,"[-86.0719056, 44.3714082]","26","101","000300","26101000300","3",Census Tract 3,G5020,S,"106490305","13264698","+44.3959365","-086.1720676"
"9 Mile Rd, BEAR LAKE TWP, MI 49614",44.373065,-86.1213609,"[-86.1213609, 44.373065]","26","101","000300","26101000300","3",Census Tract 3,G5020,S,"106490305","13264698","+44.3959365","-086.1720676"
"HILLARD 1 26A NE SEC 26 T26N R10W, BEAR LAKE TWP, MI 49614",44.3900108,-86.1141045,"[-86.1141045, 44.39001080000001]","26","101","000300","26101000300","3",Census Tract 3,G5020,S,"106490305","13264698","+44.3959365","-086.1720676"
"NE 1/4 PF NE 1/4 SEC 4, MANISTEE TWP, MI 49675",44.3836478,-86.2056843,"[-86.2056843, 44.3836478]","26","101","000300","26101000300","3",Census Tract 3,G5020,S,"106490305","13264698","+44.3959365","-086.1720676"
"NE NE NE SEC 28, BEAR LAKE TWP, MI 49614",44.3900108,-86.1141045,"[-86.1141045, 44.39001080000001]","26","101","000300","26101000300","3",Census Tract 3,G5020,S,"106490305","13264698","+44.3959365","-086.1720676"
"Viaduct Rd., COPEMISH, MI 49625",44.4610416,-85.8385751,"[-85.8385751, 44.4610416]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"10326 Healy Lake Rd., KALEVA, MI 49645",44.3888861,-86.01042,"[-86.01042, 44.3888861]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"17863 Plagany Rd, COPEMISH, MI 49625",44.4479466,-85.9494754,"[-85.9494754, 44.44794659999999]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"17443 PLEASANTON HWY, BEAR LAKE, MI 49614",44.4940256,-86.1058686,"[-86.1058686, 44.4940256]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"ERWIN RD CLEON TWP, COPEMISH, MI 49625",44.4604012,-85.8987419,"[-85.8987419, 44.4604012]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"14360 Industrial Drive, KALEVA, MI 49645",44.3750256,-86.0164053,"[-86.0164053, 44.3750256]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"14407 INDUSTRIAL DR, KALEVA, MI 49645",44.3762387,-86.0137518,"[-86.0137518, 44.37623869999999]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"HEALY LAKE RD, KALEVA, MI 49645",44.3795408,-86.0102611,"[-86.0102611, 44.3795408]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"Marilla Rd, CLEON TWP, MI 49625",44.4251168,-85.8792584,"[-85.8792584, 44.4251168]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"Lahti Rd, KALEVA, MI 49645",44.3918129,-86.0298197,"[-86.0298197, 44.3918129]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"READ RD AND THOMPSONVILLE RD, CLEON TWP, MI 49625",44.4693766,-85.9348702,"[-85.93487019999999, 44.4693766]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"SW SEC 9, T23N, R14W, MAPLE GRV TWP, MI 49645",44.377423,-86.0223611,"[-86.0223611, 44.377423]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"18615 Nessen City Rd., COPEMISH, MI 49625",44.5060755,-85.8937818,"[-85.8937818, 44.5060755]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"SE 1/4 SECTION 15 T24N R13W, CLEON TWP, MI 49625",44.4568465,-85.8690933,"[-85.8690933, 44.4568465]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"T24N R14W SECTION 28, SPRINGDALE TWP, MI 49614",44.4612088,-85.9917437,"[-85.9917437, 44.4612088]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"16962 VONDRA RD, THOMPSONVILLE, MI 49683",44.4999012,-85.9594227,"[-85.95942269999999, 44.4999012]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"SE SW SW SEC15, SPRINGDALE TWP, MI 49625",44.4568465,-85.8690933,"[-85.8690933, 44.4568465]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"NW SW SE SEC 16, SPRINGDALE TWP, MI 49614",44.4612088,-85.9917437,"[-85.9917437, 44.4612088]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"SEC 26, PLEASANTON TWP, MI 49614",44.4654295,-86.1141045,"[-86.1141045, 44.4654295]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"T23N R15W Sec8, SW NW SE, BEAR LAKE TWP, MI 49645",44.377423,-86.0223611,"[-86.0223611, 44.377423]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"Sec 21 T24N R13W, CLEON TWP, MI 49660",44.4568465,-85.8690933,"[-85.8690933, 44.4568465]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"14450 North Walta Street, KALEVA, MI 49645",44.3752861,-86.0106478,"[-86.0106478, 44.3752861]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
"10156 Wiitala Road, COPEMISH, MI 49625",44.3825996,-85.9318028,"[-85.93180280000001, 44.3825996]","26","101","000100","26101000100","1",Census Tract 1,G5020,S,"366172417","1359777","+44.4339179","-085.9565565"
